Sample	depth	cruise	FileName	CAST	yyyy-mm-ddThh	Longitude[degrees_east]	Latitude[degrees_north]	t090C[degC]	t190C[degC]	sal11[PSU]	Prochlorococcus	Synechococcus	Picoeukaryotes	Nanoeukaryotes	CHLA
N1S7_5m	5	Subtropical-Winter	N1AllChl49.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.6183	18.6178	36.1501	5.16E+07	1.28E+07	1.61E+07	1.18E+06	0.3109
N1S7_25m	25	Subtropical-Winter	N1AllChl50.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.3788	18.3768	36.1365	NA	NA	NA	NA	0.2515
N1S7_50m	50	Subtropical-Winter	N1AllChl51.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.3489	18.3488	36.1507	NA	NA	NA	NA	0.1989
N1S7_75m	75	Subtropical-Winter	N1AllChl52.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	18.3166	18.3161	36.1575	NA	NA	NA	NA	0.1646
N1S7_100m	100	Subtropical-Winter	N1AllChl53.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	17.6694	17.6157	36.2161	NA	NA	NA	NA	0.0599
N1S7_150m	150	Subtropical-Winter	N1AllChl54.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	15.8143	15.811	36.0973	NA	NA	NA	NA	0.0027
N1S7_200m	200	Subtropical-Winter	N1AllChl55.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	15.3367	15.3406	36.0358	NA	NA	NA	NA	0.0005
N1S7_300m	300	Subtropical-Winter	N1AllChl56.fasta	AT32029	2015-11-24T11:17	-40.483444	40.500198	14.1087	14.1046	35.8184	NA	NA	NA	NA	NA
N2S1.5m	5	Subpolar-Spring	N2AllChl1.fasta	at34006	2016-05-19T06:04	-46.04941667	56.33565	4.03	4.03	34.76	0	9.88E+05	1.08E+07	1.56E+06	2.6739
N2S1.25m	25	Subpolar-Spring	N2AllChl2.fasta	at34006	2016-05-19T06:04	-46.04941667	56.33565	4.03	4.03	34.76	NA	NA	NA	NA	2.4675
N2S1.75m	75	Subpolar-Spring	N2AllChl4.fasta	at34006	2016-05-19T06:04	-46.04941667	56.33565	3.6	3.6	34.79	NA	NA	NA	NA	0.3753
N2S1.100m	100	Subpolar-Spring	N2AllChl5.fasta	at34006	2016-05-19T06:04	-46.04941667	56.33565	3.47	3.47	34.84	NA	NA	NA	NA	0.1689
N2S1.200	200	Subpolar-Spring	N2AllChl7.fasta	at34006	2016-05-19T06:04	-46.04941667	56.33565	3.27	3.27	34.84	NA	NA	NA	NA	0.0572
N2S2.5m	5	Subpolar-Spring	N2AllChl9.fasta	at34012	2016-05-21T06:10	-42.25935	53.55148333	5.94	5.94	34.56	0.00E+00	3.41E+06	1.48E+07	4.34E+06	3.9405
N2S2.25m	25	Subpolar-Spring	N2AllChl10.fasta	at34012	2016-05-21T06:10	-42.25935	53.55148333	5.85	5.84	34.56	NA	NA	NA	NA	4.6598
N2S2.50m	50	Subpolar-Spring	N2AllChl11.fasta	at34012	2016-05-21T06:10	-42.25935	53.55148333	4.69	4.69	34.65	NA	NA	NA	NA	0.2783
N2S2.75m	75	Subpolar-Spring	N2AllChl13.fasta	at34012	2016-05-21T06:10	-42.25935	53.55148333	3.99	3.98	34.72	NA	NA	NA	NA	0.0991
N2S2.100m	100	Subpolar-Spring	N2AllChl14.fasta	at34012	2016-05-21T06:10	-42.25935	53.55148333	3.81	3.81	34.73	NA	NA	NA	NA	0.0529
N2S2.150m	150	Subpolar-Spring	N2AllChl15.fasta	at34012	2016-05-21T06:10	-42.25935	53.55148333	3.61	3.61	34.74	NA	NA	NA	NA	0.0285
N2S3.5m	5	Subpolar-Spring	N2AllChl17.fasta	at34018	2016-05-23T06:03	-43.84631667	50.20806667	8.89	8.89	34.89	0.00E+00	2.09E+06	7.27E+06	4.22E+06	4.3784
N2S3.25m	25	Subpolar-Spring	N2AllChl18.fasta	at34018	2016-05-23T06:03	-43.84631667	50.20806667	8.64	8.64	34.9	NA	NA	NA	NA	2.6364
N2S3.50m	50	Subpolar-Spring	N2AllChl19.fasta	at34018	2016-05-23T06:03	-43.84631667	50.20806667	8.58	8.58	34.9	NA	NA	NA	NA	1.5793
N2S3.100m	100	Subpolar-Spring	N2AllChl21.fasta	at34018	2016-05-23T06:03	-43.84631667	50.20806667	8.32	8.32	34.96	NA	NA	NA	NA	0.0366
N2S3.150m	150	Subpolar-Spring	N2AllChl22.fasta	at34018	2016-05-23T06:03	-43.84631667	50.20806667	8.29	8.29	35	NA	NA	NA	NA	0.0141
N2S3.200m	200	Subpolar-Spring	N2AllChl23.fasta	at34018	2016-05-23T06:03	-43.84631667	50.20806667	8.29	8.29	35.01	NA	NA	NA	NA	0.0106
N2S3.300m	300	Subpolar-Spring	N2AllChl24.fasta	at34018	2016-05-23T06:03	-43.84631667	50.20806667	7.16	7.19	34.85	NA	NA	NA	NA	NA
N2S4.5m	5	Subtropical-Spring	N2AllChl25.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	15.42	15.42	36.14	0.00E+00	2.15E+06	1.19E+07	5.64E+05	0.4941
N2S4.25m	25	Subtropical-Spring	N2AllChl26.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	15.44	15.44	36.14	0.00E+00	2.15E+06	1.19E+07	5.64E+05	0.541
N2S4.50m	50	Subtropical-Spring	N2AllChl27.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	15.43	15.43	36.14	0.00E+00	2.18E+06	1.18E+07	5.89E+05	0.5817
N2S4.75m	75	Subtropical-Spring	N2AllChl28.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	15.44	15.44	36.14	0.00E+00	2.16E+06	1.18E+07	5.82E+05	0.5191
N2S4.100m	100	Subtropical-Spring	N2AllChl29.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	15.44	15.44	36.14	0.00E+00	2.07E+06	1.15E+07	6.19E+05	0.4754
N2S4.150m	150	Subtropical-Spring	N2AllChl30.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	15.45	15.45	36.14	0.00E+00	2.16E+06	1.20E+07	8.10E+05	0.3972
N2S4.200m	200	Subtropical-Spring	N2AllChl31.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	15.43	15.44	36.13	0.00E+00	2.04E+06	1.15E+07	8.03E+05	0.5098
N2S4.300m	300	Subtropical-Spring	N2AllChl32.fasta	at34023	2016-05-24T06:10	-39.16311667	47.66805	14.28	14.28	35.93	NA	NA	NA	NA	NA
N2S4a.5m	5	Subtropical-Spring	N2AllChl33.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	15.45	15.45	36.14	0.00E+00	2.15E+06	1.19E+07	5.64E+05	0.7944
N2S4a.25m	25	Subtropical-Spring	N2AllChl34.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	15.45	15.45	36.14	0.00E+00	2.15E+06	1.19E+07	5.64E+05	0.9132
N2S4a.50m	50	Subtropical-Spring	N2AllChl35.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	15.45	15.45	36.14	0.00E+00	2.18E+06	1.18E+07	5.89E+05	0.7005
N2S4a.75m	75	Subtropical-Spring	N2AllChl36.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	15.46	15.45	36.14	0.00E+00	2.16E+06	1.18E+07	5.82E+05	0.4253
N2S4a.100m	100	Subtropical-Spring	N2AllChl37.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	15.45	15.45	36.14	0.00E+00	2.07E+06	1.15E+07	6.19E+05	0.3471
N2S4a.150m	150	Subtropical-Spring	N2AllChl38.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	15.45	15.45	36.14	0.00E+00	2.16E+06	1.20E+07	8.10E+05	0.344
N2S4a.200m	200	Subtropical-Spring	N2AllChl39.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	15.45	15.45	36.14	0.00E+00	2.04E+06	1.15E+07	8.03E+05	0.3753
N2S4a.300m	300	Subtropical-Spring	N2AllChl40.fasta	at34027	2016-05-25T06:05	-38.84833	47.58033	14.25	14.25	35.94	NA	NA	NA	NA	NA
N2S4b.5m	5	Subtropical-Spring	N2AllChl41.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	15.62	15.62	36.14	0.00E+00	4.60E+06	4.77E+07	1.64E+06	1.1915
N2S4b.25m	25	Subtropical-Spring	N2AllChl42.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	15.46	15.47	36.14	0.00E+00	5.42E+06	4.65E+07	1.55E+06	0.9413
N2S4b.50m	50	Subtropical-Spring	N2AllChl43.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	15.45	15.45	36.14	0.00E+00	1.81E+06	3.16E+07	9.95E+05	0.5536
N2S4b.75m	75	Subtropical-Spring	N2AllChl44.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	15.45	15.45	36.14	0.00E+00	1.18E+06	2.92E+07	8.78E+05	0.3784
N2S4b.100m	100	Subtropical-Spring	N2AllChl45.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	15.46	15.45	36.14	0.00E+00	4.87E+05	1.93E+07	6.31E+05	0.3597
N2S4b.150m	150	Subtropical-Spring	N2AllChl46.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	15.46	15.46	36.15	0.00E+00	2.84E+05	9.74E+06	2.96E+05	0.2971
N2S4b.200m	200	Subtropical-Spring	N2AllChl47.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	15.46	15.46	36.14	0.00E+00	3.43E+05	1.05E+07	4.44E+05	0.3034
N2S4b.300m	300	Subtropical-Spring	N2AllChl48.fasta	at34032	2016-05-26T06:09	-38.70683	47.39167	14.26	14.25	35.93	NA	NA	NA	NA	NA
N2S4c.5m	5	Subtropical-Spring	N2AllChl49.fasta	at34037	2016-05-27T06:07	-38.2845	47.333	15.66	15.66	36.1	0.00E+00	9.09E+06	8.97E+07	3.62E+06	1.7169
N2S4c.25m	25	Subtropical-Spring	N2AllChl50.fasta	at34037	2016-05-27T06:07	-38.2845	47.333	15.52	15.52	36.13	0.00E+00	8.85E+06	7.49E+07	2.66E+06	1.0352
N2S4c.50m	50	Subtropical-Spring	N2AllChl51.fasta	at34037	2016-05-27T06:07	-38.2845	47.333	15.44	15.44	36.14	0.00E+00	3.91E+06	2.15E+07	6.63E+05	0.4441
N2S4c.75m	75	Subtropical-Spring	N2AllChl52.fasta	at34037	2016-05-27T06:07	-38.2845	47.333	15.42	15.42	36.14	0.00E+00	2.30E+06	1.09E+07	4.15E+05	0.4128
N2S4c.100m	100	Subtropical-Spring	N2AllChl53.fasta	at34037	2016-05-27T06:07	-38.2845	47.333	15.42	15.42	36.14	0.00E+00	1.78E+06	7.67E+06	3.21E+05	0.2533
N2S4c.150m	150	Subtropical-Spring	N2AllChl54.fasta	at34037	2016-05-27T06:07	-38.2845	47.333	15.39	15.39	36.13	0.00E+00	1.92E+06	9.03E+06	3.81E+05	0.2815
N2S4c.200m	200	Subtropical-Spring	N2AllChl55.fasta	at34037	2016-05-27T06:07	-38.2845	47.333	15.25	15.25	36.1	0.00E+00	1.63E+06	6.59E+06	4.97E+05	0.3378
N2S5.5m	5	Subtropical-Spring	N2AllChl57.fasta	at34042	2016-05-30T06:07	-43.68376667	44.07633333	16	16	35.7	0.00E+00	6.01E+07	2.64E+07	3.02E+06	1.0047
N2S5.25m	25	Subtropical-Spring	N2AllChl58.fasta	at34042	2016-05-30T06:07	-43.68376667	44.07633333	16.01	16.01	35.7	NA	NA	NA	NA	0.3315
N2S5.50m	50	Subtropical-Spring	N2AllChl59.fasta	at34042	2016-05-30T06:07	-43.68376667	44.07633333	16.04	16.04	35.82	NA	NA	NA	NA	0.3221
N2S5.75m	75	Subtropical-Spring	N2AllChl60.fasta	at34042	2016-05-30T06:07	-43.68376667	44.07633333	15.53	15.53	35.87	NA	NA	NA	NA	0.0582
N2S5.100m	100	Subtropical-Spring	N2AllChl61.fasta	at34042	2016-05-30T06:07	-43.68376667	44.07633333	14.98	14.98	35.86	NA	NA	NA	NA	0.05
N2S5.200m	200	Subtropical-Spring	N2AllChl63.fasta	at34042	2016-05-30T06:07	-43.68376667	44.07633333	11.18	11.2	35.23	NA	NA	NA	NA	0.0306
N2S5.300m	300	Subtropical-Spring	N2AllChl64.fasta	at34042	2016-05-30T06:07	-43.68376667	44.07633333	9.44	9.45	35.07	NA	NA	NA	NA	NA
