sample	name	Station	Sequence file	Raw Sequences	WD	Phot	Het	Chl perce	CAST	long	lat	depth	cruise	TEMP	Salinity	O2	O2sd	Leu Incorp	BACT	DOC	DON	TDN	PO43	SiO4	NO2_NO3	NO2	NO3	N_Si	NH4	POC	PON	CHLA	Chao1_phyto	position	day	region_clust	Type	statioNodef	Dens_Thresh_MLD	Mesoscale	name
NAAMES1-11_S11	S2.50m	N2	N1AllChl11.fasta	133660	88386	2644	85742	2.991423981	AT32006	-40.166934	54.100109	50	N1	5.54	34.66	6.74	0.17	9.99	4.26	52.7	NA	12.2	0.56	4.56	10.11	0.25	9.86	2.217105263	0	46.7	NA	0.513	23	11	1	Subpolar	Subpolar-Winter	2	96.888	none	S2.50m
NAAMES1-12_S12	S2.75m	N2	N1AllChl12.fasta	219913	136074	5230	130844	3.843496921	AT32006	-40.166934	54.100109	75	N1	5.54	34.66	6.85	0.02	8.67	4.37	53.5	NA	12	0.54	4.55	10.11	0.25	9.86	2.221978022	0	47.4	NA	0.511	28.33333333	12	1	Subpolar	Subpolar-Winter	2	96.888	none	S2.75m
NAAMES1-13_S13	S2.100m	N2	N1AllChl13.fasta	192134	117185	1949	115236	1.663182148	AT32006	-40.166934	54.100109	100	N1	5.57	34.68	6.9	0.01	8.45	3.62	54.4	NA	13	0.48	4.58	10.53	0.25	10.28	2.299126638	0.03	37.4	NA	0.432	9	13	1	Subpolar	Subpolar-Winter	2	96.888	none	S2.100m
NAAMES1-14_S14	S2.150m	N2	N1AllChl14.fasta	118473	70890	962	69928	1.357032021	AT32006	-40.166934	54.100109	150	N1	4.2	34.81	6.36	0.03	0.4	1.04	50.2	NA	17.3	1.09	9.42	16.81	0.1	16.71	1.784501062	0	15	NA	NA	NA	14	1	Subpolar	Subpolar-Winter	2	96.888	none	S2.150m
NAAMES1-NA1	S2NA-200m	N2	NA	NA	NA	NA	NA	NA	AT32007	-40.166934	54.100109	200	N1	4.1182	34.8562	6.45	0.04	0.29	0.92	49.5	NA	20.8	1.15	9.88	16.98	0.07	16.91	1.718623482	0	11.9	NA	NA	NA	NA	1	Subpolar	Subpolar-Winter	2	96.888	none	S2NA-200m
NAAMES1-NA2	S2NA-300m	N2	NA	NA	NA	NA	NA	NA	AT32008	-40.166934	54.100109	300	N1	3.9777	34.871	6.59	0.02	0.33	0.9	50	NA	20.7	1.16	9.54	17.04	0.03	17.01	1.786163522	0	NA	NA	NA	NA	NA	1	Subpolar	Subpolar-Winter	2	96.888	none	S2NA-300m
NAAMES1-17_S15	S3.5m	N3	N1AllChl17.fasta	270585	175815	9081	166734	5.165088303	AT32011	-40.100221	51.116825	5	N1	7.26	34.2	6.66	0.01	9.91	4.2	59.3	4	8.3	0.38	2.29	4.33	0.13	4.2	1.890829694	0	100.7	NA	1.091	49	15	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3.5m
NAAMES1-18_S16	S3.25m	N3	N1AllChl18.fasta	241082	152512	7682	144830	5.036980697	AT32011	-40.100221	51.116825	25	N1	7.25	34.201	6.67	0.02	9.11	4.69	58.4	3.9	8.3	0.39	2.24	4.38	0.17	4.21	1.955357143	0	101.2	NA	1.057	26.5	16	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3.25m
NAAMES1-19_S17	S3.50m	N3	N1AllChl19.fasta	258512	171560	8005	163555	4.666006062	AT32011	-40.100221	51.116825	50	N1	7.13	34.2	6.71	0.04	10.26	4.61	58.7	3.8	8.2	0.37	2.21	4.33	0.18	4.15	1.959276018	0	112	NA	1.285	37.2	17	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3.50m
NAAMES1-20_S18	S3.75m	N3	N1AllChl20.fasta	195600	116132	4077	112055	3.510660283	AT32011	-40.100221	51.116825	75	N1	6.92	34.49	5.96	0.05	2.46	1.96	55.7	3.6	14.3	0.75	5.5	10.7	0.17	10.53	1.945454545	0	31.4	NA	0.113	58.5	18	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3.75m
NAAMES1-21_S19	S3.100m	N3	N1AllChl21.fasta	441148	237770	558	237212	0.234680574	AT32011	-40.100221	51.116825	100	N1	6.88	34.61	5.63	0.25	0.6	1.18	52.6	2.3	16.4	0.96	7.62	14.08	0.06	14.02	1.847769029	0	40.2	NA	0.009	NA	19	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3.100m
NAAMES1-22_S20	S3.150m	N3	N1AllChl22.fasta	172197	97896	272	97624	0.277845877	AT32011	-40.100221	51.116825	150	N1	6.19	34.75	5.05	0.05	0.5	1	49.5	1.8	20.4	1.21	10.99	18.56	0	18.63	1.688808007	0	14.9	NA	NA	NA	20	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3.150m
NAAMES1-23_S21	S3.200m	N3	N1AllChl23.fasta	472878	256471	956	255515	0.372751695	AT32011	-40.100221	51.116825	200	N1	5.3	34.75	5.41	0.03	0.17	0.97	50.3	2.5	20.9	1.17	11.14	18.35	0.06	18.29	1.647217235	0	21.1	NA	NA	NA	21	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3.200m
NAAMES1-NA3	S3NA-300m	N4	NA	NA	NA	NA	NA	NA	AT32011	-40.100221	51.116825	300	N1	4.6191	34.8273	6.01	0.02	0.46	0.09	48.9	2.2	19.7	1.1	10.44	17.59	0.1	17.49	1.6848659	0	NA	NA	NA	NA	NA	1	Subpolar	Subpolar-Winter	3	63.052	cyclone	S3NA-300m
NAAMES1-25_S22	S4.5m	N4	N1AllChl25.fasta	255796	143368	13367	130001	9.323558953	AT32014	-37.866751	46.200072	5	N1	15.55	35.92	5.41	0.08	8.91	3.19	57.1	4.3	7.4	0.19	1.52	3.09	0.15	2.94	2.032894737	0	59.8	NA	0.336	69.5	22	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.5m
NAAMES1-26_S23	S4.25m	N4	N1AllChl26.fasta	144989	79467	6411	73056	8.067499717	AT32014	-37.866751	46.200072	25	N1	15.55	35.91	5.43	0.01	11.54	3.29	57.3	3.8	7	0.22	1.57	3.16	0.16	3	2.012738854	0	30.3	NA	0.319	55.5	23	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.25m
NAAMES1-27_S24	S4.50m	N4	N1AllChl27.fasta	129236	71255	6365	64890	8.932706477	AT32014	-37.866751	46.200072	50	N1	15.52	35.91	5.4	0.02	9.23	2.87	55.6	4.1	8.7	0.3	2.29	4.6	0.11	4.49	2.008733624	0	29.7	NA	0.342	48.11111111	24	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.50m
NAAMES1-28_S25	S4.75m	N4	N1AllChl28.fasta	244063	129494	15383	114111	11.87931487	AT32014	-37.866751	46.200072	75	N1	15.53	35.91	5.46	0.05	10.47	3.44	57.7	4.3	7.5	0.2	1.57	3.2	0.22	2.97	2.038216561	0	28.1	NA	0.348	90.3	25	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.75m
NAAMES1-29_S26	S4.100m	N4	N1AllChl29.fasta	112289	42705	4211	38494	9.860672052	AT32014	-37.866751	46.200072	100	N1	15.51	35.91	5.45	0	8.49	3.15	58.7	4	7.2	0.21	1.57	3.2	0.12	3.08	2.038216561	0	27.6	NA	0.183	34.33333333	26	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.100m
NAAMES1-30_S27	S4.150m	N4	N1AllChl30.fasta	96782	51606	112	51494	0.217029028	AT32014	-37.866751	46.200072	150	N1	15.8	36.13	5	0.02	1.62	1.09	53	2.7	9.3	0.38	2.49	6.62	0.05	6.56	2.658634538	0	11.1	NA	NA	NA	27	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.150m
NAAMES1-31_S28	S4.200m	N4	N1AllChl31.fasta	134863	76117	135	75982	0.17735854	AT32014	-37.866751	46.200072	200	N1	15.2	36.03	5.1	0.11	3.19	0.93	52.7	3.6	10.9	0.45	2.81	7.29	0.04	7.25	2.59430605	0	9.3	NA	NA	NA	28	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.200m
NAAMES1-32_S29	S4.300m	N4	N1AllChl32.fasta	106973	57410	91	57319	0.158508971	AT32014	-37.866751	46.200072	300	N1	14.04	35.81	5.12	0.22	1.24	0.9	53.1	2.6	10.8	0.5	3.14	8.14	0	8.17	2.592356688	0	NA	NA	NA	NA	29	1	Subtropical	Subtropical-Winter	4	127.084	anticyclone	S4.300m
NAAMES1-33_S30	S5.5m	N5	N1AllChl33.fasta	247275	137407	18409	118998	13.39742517	AT32015	-37.514456	43.83517	5	N1	16.3	35.28	5.5	0.02	11.77	3.34	58.8	4.2	5.7	0.14	1.19	1.51	0.07	1.44	1.268907563	0.01	41.7	NA	0.34	88.2	30	1	Subtropical	Subtropical-Winter	5	81.67	none	S5.5m
NAAMES1-34_S31	S5.25m	N5	N1AllChl34.fasta	176869	92960	10016	82944	10.77452668	AT32015	-37.514456	43.83517	25	N1	16.3	35.9	5.45	0	11.4	3.27	59	4	5.6	0.14	1.19	1.53	0.13	1.4	1.285714286	0.07	33.3	NA	0.324	60.625	31	1	Subtropical	Subtropical-Winter	5	81.67	none	S5.25m
NAAMES1-35_S32	S5.50m	N5	N1AllChl35.fasta	206840	114833	17134	97699	14.92079803	AT32015	-37.514456	43.83517	50	N1	16.3	35.87	5.48	0	16.15	3.42	58.7	3.8	5.4	0.17	1.18	1.56	0.19	1.37	1.322033898	0.02	31.6	NA	0.342	82.58333333	32	1	Subtropical	Subtropical-Winter	5	81.67	none	S5.50m
NAAMES1-36_S33	S5.75m	N5	N1AllChl36.fasta	261119	138618	10556	128062	7.615172633	AT32015	-37.514456	43.83517	75	N1	16.46	35.9	5.38	0.01	8.1	3.31	58.7	4	5.8	0.14	1.26	1.75	0.14	1.62	1.388888889	0	12.8	NA	0.195	72.85714286	33	1	Subtropical	Subtropical-Winter	5	81.67	none	S5.75m
NAAMES1-37_S34	S5.100m	N5	N1AllChl37.fasta	425125	218490	3915	214575	1.79184402	AT32015	-37.514456	43.83517	100	N1	15.5	36	5.05	0	4.33	1.44	53.5	3	9.1	0.37	2.17	5.96	0.07	5.89	2.746543779	0.13	23.1	NA	0.011	37	34		Subtropical	Subtropical-Winter	5	81.67	none	S5.100m
NAAMES1-38_S35	S5.150m	N5	N1AllChl38.fasta	285990	157831	463	157368	0.29335175	AT32015	-37.514456	43.83517	150	N1	14.9	35.94	5.05	0	8.46	1.05	51	3	10.4	0.46	2.66	7.36	0.03	7.33	2.766917293	0.02	18.9	NA	NA	NA	35	1	Subtropical	Subtropical-Winter	5	81.67	none	S5.150m
NAAMES1-NA4	S5NA-200m	N5	NA	NA	NA	NA	NA	NA	AT32015	-37.514456	43.83517	200	N1	14.2501	35.8297	5.11	0	4.9	NA	NA	NA	NA	0.49	3.02	8.2	0.08	8.12	2.715231788	0.16	11.9	NA	NA	NA	NA	1	Subtropical	Subtropical-Winter	5	81.67	none	S5NA-200m
NAAMES1-40_S36	S5.300m	N5	N1AllChl40.fasta	237938	117625	290	117335	0.246546227	AT32015	-37.514456	43.83517	300	N1	13.6	35.75	4.85	0.05	4.07	0.75	49.6	2.5	13.3	0.67	4.3	10.76	0	10.84	2.502325581	0.06	NA	NA	NA	NA	36	1	Subtropical	Subtropical-Winter	5	81.67	none	S5.300m
NAAMES1-41_S37	S6.5m	N6	N1AllChl41.fasta	345125	172757	15103	157654	8.742337503	AT32023	-40.150198	43.233339	5	N1	17.26	35.52	5.41	0.03	14.75	3.59	62.7	4.7	5.5	0.11	1.08	0.87	0.27	0.61	0.805555556	0	38.6	NA	0.419	68	37	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.5m
NAAMES1-42_S38	S6.25m	N6	N1AllChl42.fasta	419247	208611	27217	181394	13.04677126	AT32023	-40.150198	43.233339	25	N1	17.22	35.63	5.42	0.05	14.61	3.54	62.8	3.9	4.9	0.12	1.11	1.03	0.27	0.76	0.927927928	0	62.5	NA	0.403	89.90909091	38	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.25m
NAAMES1-43_S39	S6.50m	N6	N1AllChl43.fasta	298098	161737	22688	139049	14.02771166	AT32023	-40.150198	43.233339	50	N1	17.19	35.7	5.35	0.01	10.94	3.54	62	4.1	5.4	0.13	1.16	1.3	0.25	1.05	1.120689655	0	40.3	NA	0.034	85.90909091	39	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.50m
NAAMES1-44_S40	S6.75m	N6	N1AllChl44.fasta	324582	164604	20545	144059	12.48147068	AT32023	-40.150198	43.233339	75	N1	16.95	35.85	4.48	0.25	9.28	3.64	60.4	3.4	4.9	0.14	1.16	1.53	0.28	1.25	1.318965517	0	26.4	NA	0.314	73.125	40	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.75m
NAAMES1-45_S41	S6.100m	N6	N1AllChl45.fasta	286714	152904	3247	149657	2.123554649	AT32023	-40.150198	43.233339	100	N1	17	35.99	4.53	0.03	4.12	2.17	57.8	4	6.8	0.19	1.41	2.76	0.26	2.49	1.957446809	0	13.8	NA	0.05	42	41	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.100m
NAAMES1-46_S42	S6.150m	N6	N1AllChl46.fasta	322391	162470	167	162303	0.102788207	AT32023	-40.150198	43.233339	150	N1	17.27	36.37	4.86	0.03	2.27	0.54	49.3	3	10.2	0.4	2.61	7.19	0	7.24	2.754789272	0	4	NA	NA	NA	42	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.150m
NAAMES1-47_S43	S6.200m	N6	N1AllChl47.fasta	348772	180540	168	180372	0.093054171	AT32023	-40.150198	43.233339	200	N1	16.5	36.22	4.57	0.01	0.79	0.65	50.3	3.4	10.7	0.42	2.74	7.38	0	7.41	2.693430657	0	8.7	NA	NA	NA	43	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.200m
NAAMES1-48_S44	S6.300m	N6	N1AllChl48.fasta	345005	176107	485	175622	0.275400751	AT32023	-40.150198	43.233339	300	N1	15.23	36.02	4.22	0.07	1.51	0.66	51.5	2.8	11	0.48	3.16	8.22	0.08	8.14	2.601265823	0	NA	NA	NA	NA	44	1	Subtropical	Subtropical-Winter	6	23.685	anticyclone	S6.300m
NAAMES1-49_S45	S7.5m	N7	N1AllChl49.fasta	325659	172908	33892	139016	19.60117519	AT32026	-40.483444	40.500198	5	N1	18.57	36.15	5.38	0.06	23.06	5.37	60.7	3.7	3.8	0.05	0.71	0.08	0.01	0.06	0.112676056	0	50.3	NA	0.426	82.33333333	45	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.5m
NAAMES1-50_S46	S7.25m	N7	N1AllChl50.fasta	323910	165132	20177	144955	12.21870988	AT32026	-40.483444	40.500198	25	N1	18.39	36.14	5.32	0.13	18.07	4.45	60.2	4.5	4.7	0.07	0.66	0.19	0.01	0.17	0.287878788	0	35.8	NA	0.348	58.15384615	46	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.25m
NAAMES1-51_S47	S7.50m	N7	N1AllChl51.fasta	277866	149056	11300	137756	7.581043366	AT32026	-40.483444	40.500198	50	N1	18.35	36.15	5.27	0.02	10.08	3.86	60.2	4.2	4.5	0.08	0.68	0.34	0.05	0.29	0.5	0	22.6	NA	0.269	56.875	47	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.50m
NAAMES1-52_S48	S7.75m	N7	N1AllChl52.fasta	271800	142505	12744	129761	8.942844111	AT32026	-40.483444	40.500198	75	N1	18.33	36.16	5.17	0.21	9.42	3.89	60.8	4.1	4.5	0.06	0.69	0.43	0.2	0.23	0.623188406	0	25	NA	0.272	57.625	48	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.75m
NAAMES1-53_S49	S7.100m	N7	N1AllChl53.fasta	249000	132449	6280	126169	4.741447652	AT32026	-40.483444	40.500198	100	N1	17.85	36.2	4.88	0.35	3.3	2.36	57.1	3.6	6.3	0.17	1.13	2.67	0.08	2.59	2.362831858	0	16.6	NA	0.08	51	49	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.100m
NAAMES1-54_S50	S7.150m	N7	N1AllChl54.fasta	246740	130259	283	129976	0.21725946	AT32026	-40.483444	40.500198	150	N1	15.85	36.11	4.9	0.17	1.41	0.96	51.7	3.1	10.6	0.45	2.74	7.51	0	7.53	2.740875912	0	7.6	NA	NA	NA	50	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.150m
NAAMES1-55_S51	S7.200m	N7	N1AllChl55.fasta	283514	151503	524	150979	0.345867739	AT32026	-40.483444	40.500198	200	N1	15.35	36.03	4.92	0.04	1.13	0.89	52.1	3.2	11.1	0.48	2.72	7.94	0	8	2.919117647	0	13.5	NA	NA	NA	51	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.200m
NAAMES1-56_S52	S7.300m	N7	N1AllChl56.fasta	263227	129795	302	129493	0.232674602	AT32026	-40.483444	40.500198	300	N1	14.1	35.81	4.65	0.31	1.08	0.79	50.9	2.4	11.8	0.6	3.43	9.43	0.04	9.39	2.749271137	0	NA	NA	NA	NA	52	1	Subtropical	Subtropical-Winter	7	28.219	cyclone	S7.300m
NAAMES2-1_S21	N2S1.5m	1	N2AllChl1.fasta	97147	67033	8355	58678	12.46401026	at34006	-46.04941667	56.33565	5	N2	4.033	34.7633	7.5	0.06	40.48	19.87	53	3.8	16.7	0.83	7.66	12.44	0	12.44	1.624020888	0.41	153	29.32	1.777	55.3	53	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1.5m
NAAMES2-2_S22	N2S1.25m	1	N2AllChl2.fasta	129959	90026	9623	80403	10.68913425	at34006	-46.04941667	56.33565	25	N2	4.0328	34.7636	7.47	0.01	41.54	18.75	52.4	4.3	17.2	0.83	7.67	12.44	0.12	12.32	1.62190352	0.46	51.11	10.06	1.956	51.2	54	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1.25m
NAAMES2-NA1	N2S1NA-50m	1	NA	NA	NA	NA	NA	NA	at34006	-46.04941667	56.33565	50	N2	3.8271	34.7791	7.58	0.27	28.11	18.72	51.5	3.1	16.8	0.88	8.14	13.17	0.13	13.04	1.617936118	0.47	0.78	0.06	0.557	NA	NA	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1NA-50m
NAAMES2-4_S37	N2S1.75m	1	N2AllChl4.fasta	131860	89482	5648	83834	6.311883954	at34006	-46.04941667	56.33565	75	N2	3.5587	34.7971	7.29	0.01	15.81	11.3	50.1	3.1	18.3	0.95	8.03	14.39	0.05	14.34	1.792029888	0.87	3.64	0.67	0.167	62.25	55	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1.75m
NAAMES2-5_S23	N2S1.100m	1	N2AllChl5.fasta	81737	52048	1607	50441	3.087534583	at34006	-46.04941667	56.33565	100	N2	3.4685	34.8363	7.33	0.01	20.12	11.8	51.4	2.5	17.7	0.96	8.11	13.66	0.09	13.57	1.684340321	1.56	11.03	1.81	0.217	26	56	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1.100m
NAAMES2-NA2	N2S1NA-150m	1	NA	NA	NA	NA	NA	NA	at34006	-46.04941667	56.33565	150	N2	3.3212	34.8346	6.95	0.03	3.08	4.04	49.5	1.5	18.8	1.03	8.36	15.85	0.1	15.75	1.895933014	1.45	NA	NA	NA	NA	NA	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1NA-150m
NAAMES2-7_S38	N2S1.200	1	N2AllChl7.fasta	74753	40196	758	39438	1.885759777	at34006	-46.04941667	56.33565	200	N2	3.2731	34.8409	6.9	0.04	1.26	2.37	49.6	2.5	19.5	1.07	8.39	15.93	-0.06	15.99	1.898688915	1.09	10.89	0.96	NA	NA	57	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1.200
NAAMES2-NA3	N2S1NA-300m	1	NA	NA	NA	NA	NA	NA	at34006	-46.04941667	56.33565	300	N2	3.2849	34.8503	6.85	0	0.36	1.7	48.3	2.8	19.6	1.05	8.45	16.01	-0.08	16.09	1.894674556	0.86	NA	NA	NA	NA	NA	1	Subpolar	Subpolar-Spring	1	52.486	cyclone	N2S1NA-300m
NAAMES2-9_S24	N2S2.5m	2	N2AllChl9.fasta	258368	177302	55562	121740	31.33749196	at34012	-42.25935	53.55148333	5	N2	5.9	34.55	7.68	0.26	64.6	28.06	56.4	4.14	11.83	0.5	5.81	7.5	0.2	7.3	1.290877797	0.19	338.84	64.8	3.1	125.5454545	58	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2.5m
NAAMES2-10_S39	N2S2.25m	2	N2AllChl10.fasta	357734	252220	34116	218104	13.52628658	at34012	-42.25935	53.55148333	25	N2	5.8	34.56	7.85	0.79	66.48	23.36	55.12	4.64	12.63	0.5	5.93	7.82	0.16	7.66	1.318718381	0.17	34.99	6.59	2.764	137	59	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2.25m
NAAMES2-11_S40	N2S2.50m	2	N2AllChl11.fasta	214716	145001	10945	134056	7.548223805	at34012	-42.25935	53.55148333	50	N2	4.69	34.65	8.1	0.83	19.46	14.16	51.37	2.93	14.98	0.79	7.02	11.41	0.23	11.18	1.625356125	0.64	0.53	0.23	0.453	72.25	60	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2.50m
NAAMES2-13_S41	N2S2.75m	2	N2AllChl13.fasta	254938	164434	5098	159336	3.100332048	at34012	-42.25935	53.55148333	75	N2	3.97	34.72	7.48	0.75	9.08	11.02	50.03	2.77	17.04	0.95	7.78	13.87	0.41	13.46	1.78277635	0.4	7.05	1.06	0.135	63.5	61	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2.75m
NAAMES2-14_S42	N2S2.100m	2	N2AllChl14.fasta	203461	136184	5442	130742	3.996064149	at34012	-42.25935	53.55148333	100	N2	3.8	34.73	7.29	0.01	9.8	7.84	49.95	2.45	16.39	0.91	7.57	13.16	0.17	12.99	1.738441215	0.77	13.37	2.44	0.116	51.3	62	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2.100m
NAAMES2-15_S43	N2S2.150m	2	N2AllChl15.fasta	261778	165380	4082	161298	2.468254928	at34012	-42.25935	53.55148333	150	N2	3.6	34.74	7.26	0.28	3.43	7.07	50.62	2.62	17.97	1	7.92	14.91	0.21	14.69	1.882575758	0.45	482.62	91.34	NA	NA	63	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2.150m
NAAMES2-NA4	N2S2NA-200m	2	NA	NA	NA	NA	NA	NA	at34012	-42.25935	53.55148333	200	N2	3.7177	34.7854	7.7	0.22	1.52	5	48.6	2.3	17.9	1.02	8.2	15.54	0.06	15.48	1.895121951	0.12	19.99	1.81	NA	NA	NA	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2NA-200m
NAAMES2-NA5	N2S2NA-300m	2	NA	NA	NA	NA	NA	NA	at34012	-42.25935	53.55148333	300	N2	3.8446	34.8416	7.34	0.31	0.6	3.49	47	1.2	17.6	1.06	8.58	16.26	0.08	16.18	1.895104895	0.18	16.35	NA	NA	NA	NA	1	Subpolar	Subpolar-Spring	2	19.171	anticyclone	N2S2NA-300m
NAAMES2-17_S25	N2S3.5m	3	N2AllChl17.fasta	119263	82075	1996	80079	2.431922023	at34018	-43.84631667	50.20806667	5	N2	8.89	34.89	7.12	0	42.12	17.3	57.86	3.78	9.46	0.4	3.87	5.56	0.28	5.27	1.436692506	0.12	317.8	54.19	3.469	42	64	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3.5m
