	Mock	Taxa
N1N2_SNV5262	Organism	Diatoms
N1N2_SNV5304	Organism	Pelagophyceae
N1N2_SNV5328	Organism	Diatoms
N1N2_SNV5341	Organism	Bathycoccus
N1N2_SNV5363	Organism	Diatoms
N1N2_SNV5411	Organism	Prymnesiophyceae
N1N2_SNV5429	Organism	Diatoms
N1N2_SNV5451	Organism	Diatoms
N1N2_SNV5459	Organism	Other plastid
N1N2_SNV5599	Organism	Prymnesiophyceae
N1N2_SNV5619	Organism	Other plastid
N1N2_SNV5621	Organism	Micromonas
N1N2_SNV5626	Organism	Other plastid
N1N2_SNV5637	Organism	Other plastid
N1N2_SNV5643	Organism	Diatoms
N1N2_SNV5681	Organism	Diatoms
N1N2_SNV5693	Organism	Diatoms
N1N2_SNV5717	Organism	Diatoms
N1N2_SNV5732	Organism	Rappemonad
N1N2_SNV5766	Organism	Diatoms
N1N2_SNV5769	Organism	Dictyochophyceae
N1N2_SNV5770	Organism	Pelagophyceae
N1N2_SNV5802	Organism	Chrysophyceae
N1N2_SNV5803	Organism	Diatoms
N1N2_SNV5824	Organism	Diatoms
N1N2_SNV5851	Organism	Cryptophyceae
N1N2_SNV5872	Organism	Prymnesiophyceae
N1N2_SNV5873	Organism	Dictyochophyceae
N1N2_SNV5874	Organism	Diatoms
N1N2_SNV5881	Organism	Diatoms
N1N2_SNV5935	Organism	Diatoms
N1N2_SNV5972	Organism	Pelagophyceae
N1N2_SNV5973	Organism	Prymnesiophyceae
N1N2_SNV6018	Organism	ProchlorococcusHLII
N1N2_SNV6026	Organism	Prymnesiophyceae
N1N2_SNV6028	Organism	Pelagophyceae
N1N2_SNV6043	Organism	Diatoms
N1N2_SNV6088	Organism	Other plastid
N1N2_SNV6108	Organism	Prymnesiophyceae
N1N2_SNV6117	Organism	Diatoms
N1N2_SNV6127	Organism	Prymnesiophyceae
N1N2_SNV6144	Organism	Pelagophyceae
N1N2_SNV6150	Organism	Other plastid
N1N2_SNV6175	Organism	Dictyochophyceae
N1N2_SNV6215	Organism	Chrysophyceae
N1N2_SNV6216	Organism	Diatoms
N1N2_SNV6256	Organism	Diatoms
N1N2_SNV6261	Organism	Diatoms
N1N2_SNV6290	Organism	Pelagophyceae
N1N2_SNV6356	Organism	Bathycoccus
N1N2_SNV6357	Organism	Diatoms
N1N2_SNV6364	Organism	Prymnesiophyceae
N1N2_SNV6365	Organism	Chrysophyceae
N1N2_SNV6369	Organism	Diatoms
N1N2_SNV6398	Organism	Diatoms
N1N2_SNV6426	Organism	Diatoms
N1N2_SNV6428	Organism	Other plastid
N1N2_SNV6433	Organism	Diatoms
N1N2_SNV6441	Organism	Diatoms
N1N2_SNV6443	Organism	Diatoms
N1N2_SNV6478	Organism	Other plastid
N1N2_SNV6524	Organism	Prymnesiophyceae
N1N2_SNV6546	Organism	Chrysophyceae
N1N2_SNV6548	Organism	Diatoms
N1N2_SNV6574	Organism	Dictyochophyceae
N1N2_SNV6575	Organism	Diatoms
N1N2_SNV6590	Organism	Prymnesiophyceae
N1N2_SNV6645	Organism	ASV357
N1N2_SNV6666	Organism	Diatoms
