	Domain	Phylum 	Class	Order	Family	Genus	Species
N1N2_SNV12598	Eukaryota	Haptophyta					
N1N2_SNV12607	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV12616	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV12617	Eukaryota	Chlorophyta	PrasinophyceaeV				
N1N2_SNV12625	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV12626	Eukaryota	Chlorophyta					
N1N2_SNV12629	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV12637	Eukaryota	Chlorophyta					
N1N2_SNV12641	Eukaryota	Haptophyta					
N1N2_SNV12647	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV12658	Eukaryota	Haptophyta					
N1N2_SNV12665	Eukaryota	Haptophyta					
N1N2_SNV12747	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV12748	Eukaryota	Haptophyta					
N1N2_SNV12763	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV12811	Eukaryota	Chlorophyta					
N1N2_SNV12812	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV12836	NA						
N1N2_SNV12845	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV12852	NA						
N1N2_SNV12866	Eukaryota	Haptophyta					
N1N2_SNV12867	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV12870	Eukaryota	Chlorophyta					
N1N2_SNV12875	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV12904	Eukaryota	Haptophyta					
N1N2_SNV12905	Eukaryota	Haptophyta					
N1N2_SNV12920	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV12923	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV12934	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV12968	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV12978	Eukaryota	Stramenopiles					
N1N2_SNV12988	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV12996	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV13007	Eukaryota	Haptophyta					
N1N2_SNV13009	Eukaryota	Chlorophyta					
N1N2_SNV13012	Eukaryota	Chlorophyta	PrasinophyceaeV				
N1N2_SNV13023	NA						
N1N2_SNV13027	Eukaryota	Haptophyta					
N1N2_SNV13031	Eukaryota	Chlorophyta	Chlorophyta				
N1N2_SNV13036	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV13039	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV13044	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV13047	Eukaryota	Haptophyta					
N1N2_SNV13095	Eukaryota	Chlorophyta					
N1N2_SNV13108	Eukaryota	Chlorophyta					
N1N2_SNV13110	Eukaryota	Chlorophyta					
N1N2_SNV13114	Eukaryota	new_euk_A					
N1N2_SNV13116	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV13136	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV13139	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV13143	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV13144	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV13152	Eukaryota	Rhodophyta					
N1N2_SNV13154	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV13164	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV13172	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV13174	Eukaryota	Chlorophyta					
N1N2_SNV13179	Eukaryota	Haptophyta					
N1N2_SNV13180	Eukaryota	new_euk_A					
N1N2_SNV13205	Eukaryota	Chlorophyta					
N1N2_SNV13207	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV13249	NA						
N1N2_SNV13252	Eukaryota	Haptophyta					
N1N2_SNV13260	Eukaryota	Chlorophyta	PrasinophyceaeV				
N1N2_SNV13312	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV13314	Eukaryota	Haptophyta					
N1N2_SNV13328	Eukaryota	Eusiphoniidae					
N1N2_SNV13372	Eukaryota	Stramenopiles					
N1N2_SNV13401	Eukaryota	Chlorophyta					
N1N2_SNV13421	Eukaryota	new_euk_A					
N1N2_SNV13424	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV13427	Eukaryota	Haptophyta					
N1N2_SNV13450	Eukaryota	Chlorophyta					
N1N2_SNV13451	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV13468	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV13475	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV13478	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV13479	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV13485	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV13515	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV13531	Eukaryota	Rhodophyta					
N1N2_SNV13540	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV13548	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV13606	Eukaryota	Haptophyta					
N1N2_SNV13659	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV13711	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV13712	Eukaryota	Haptophyta					
N1N2_SNV13713	Eukaryota	new_euk_A					
N1N2_SNV13722	Eukaryota	Chlorophyta					
N1N2_SNV13726	Eukaryota	Haptophyta					
N1N2_SNV13733	Eukaryota	Chlorophyta					
N1N2_SNV13735	Eukaryota	Haptophyta					
N1N2_SNV13736	Eukaryota	Haptophyta					
N1N2_SNV13753	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV13757	Eukaryota	Chlorophyta					
N1N2_SNV13761	Eukaryota	Haptophyta					
N1N2_SNV13771	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV13783	Eukaryota	Rhodophyta					
N1N2_SNV13788	Eukaryota	Stramenopiles					
N1N2_SNV13791	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV13793	Eukaryota	Haptophyta					
N1N2_SNV13795	Eukaryota	Haptophyta					
N1N2_SNV13822	Eukaryota	Haptophyta					
N1N2_SNV13858	Eukaryota	Haptophyta					
N1N2_SNV13873	Eukaryota	new_euk_A					
N1N2_SNV13875	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV13882	Eukaryota	Haptophyta					
N1N2_SNV13888	Eukaryota	Chlorophyta					
N1N2_SNV13895	Eukaryota	Haptophyta					
N1N2_SNV13911	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV13915	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV13916	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV13935	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV13938	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV13952	Eukaryota	Haptophyta					
N1N2_SNV13957	Eukaryota	new_euk_A					
N1N2_SNV13959	Eukaryota	Chlorophyta					
N1N2_SNV13963	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV13973	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV13981	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV13982	Eukaryota	Chlorophyta	PrasinophyceaeIII				
N1N2_SNV13984	Eukaryota	Chlorophyta	PrasinophyceaeII				
N1N2_SNV13995	Eukaryota	Chlorophyta	PrasinophyceaeII				
N1N2_SNV13996	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV14031	NA						
N1N2_SNV14051	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV14071	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV14103	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV14105	Eukaryota	Chlorophyta					
N1N2_SNV14113	Eukaryota	Chlorophyta					
N1N2_SNV14125	Eukaryota	Chlorophyta					
N1N2_SNV14130	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV14138	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV14149	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV14153	Eukaryota	Chlorophyta					
N1N2_SNV14154	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV14160	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV14192	Eukaryota	Haptophyta					
N1N2_SNV14228	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV14232	Bacteria	Cyanobacteria					
N1N2_SNV14237	NA						
N1N2_SNV14240	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV14241	Eukaryota	Chlorophyta					
N1N2_SNV14251	Eukaryota	new_euk_A					
N1N2_SNV14257	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV14265	Eukaryota	Chlorophyta					
N1N2_SNV14268	NA						
N1N2_SNV14270	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV14272	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV14278	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV14282	Eukaryota	Chlorophyta	PrasinophyceaeVII_CCMP1205				
N1N2_SNV14287	Eukaryota	Rhodophyta					
N1N2_SNV14288	Eukaryota	Chlorophyta					
N1N2_SNV14290	Eukaryota	Haptophyta					
N1N2_SNV14291	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV14298	Eukaryota	Haptophyta					
N1N2_SNV14305	Eukaryota	Haptophyta					
N1N2_SNV14313	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV14323	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV14331	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV14332	Eukaryota	Haptophyta					
N1N2_SNV14359	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV14369	NA						
N1N2_SNV14418	Bacteria	Cyanobacteria					
N1N2_SNV14430	Eukaryota	Haptophyta					
N1N2_SNV14459	Eukaryota	Chlorophyta	PrasinophyceaeV				
N1N2_SNV14460	Eukaryota	Chlorophyta	Trebouxiophyceae				
N1N2_SNV14479	Eukaryota	Chlorophyta	PrasinophyceaeIV				
N1N2_SNV14485	Eukaryota	Stramenopiles	xan				
N1N2_SNV14528	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV14571	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pcoccus				
N1N2_SNV14578	Eukaryota	Haptophyta					
N1N2_SNV14581	Bacteria	Cyanobacteria					
N1N2_SNV14583	Eukaryota	Chlorophyta	2ndaryPlastid	Alveo_Green			
N1N2_SNV14604	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV14608	Eukaryota	Haptophyta					
N1N2_SNV14626	Eukaryota	Chlorophyta					
N1N2_SNV14630	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV14662	Eukaryota	Stramenopiles	Chrysophyceae				
N1N2_SNV14669	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHNLCs
N1N2_SNV14671	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV14672	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV14692	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV14728	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV14811	Eukaryota	Stramenopiles	Dictyochophyceae				
